Team,CO,Component,SubComponent,Folder,File
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\App_Start,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\Controllers,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\ModelDescriptions,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\Models,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\SampleGeneration,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\Views,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\Views\Help,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\Views\Help\DisplayTemplates,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\Views\Shared,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Content,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Controllers,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Filters,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\fonts,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Models,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Properties,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Scripts,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Views,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Views\Home,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Views\Shared,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\Antlr.3.4.1.9004,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\Antlr.3.4.1.9004\lib,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\bootstrap.3.0.0,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\bootstrap.3.0.0\content,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\bootstrap.3.0.0\content\Content,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\bootstrap.3.0.0\content\fonts,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\bootstrap.3.0.0\content\Scripts,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\EntityFramework.6.1.3,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\EntityFramework.6.1.3\content,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\EntityFramework.6.1.3\lib,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\EntityFramework.6.1.3\lib\net40,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\EntityFramework.6.1.3\lib\net45,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\EntityFramework.6.1.3\tools,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\jQuery.1.10.2,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\jQuery.1.10.2\Content,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\jQuery.1.10.2\Content\Scripts,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\jQuery.1.10.2\Tools,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\Microsoft.AspNet.Cors.5.2.3,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\Microsoft.AspNet.Cors.5.2.3\lib,
T-Primer,ZHANG Peng,CodeAnalysisPlatform,,Analytics\SystemSource\APIFootprint\Managed\packages\Microsoft.AspNet.Cors.5.2.3\lib\net45,
