Component,SubComponent,Team,Type,CO,Stable,Maturity,ProjectType,Segment,MarketingNames,DeploymentRestrictions,Parallelizable,Folder,TFSAreaPath,ToolCode,Maturity,Parallelizable,MarketingNames,Segment,ProjectType
Undefined,,Undefined,,,,,,,,,,
Shared utilities,,T-Primer,,LI Ziming,,,,,,,,
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzSysApps\Ensembles\WSD
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzSysApps\Ensembles\Completion
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Managers\RunManager
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\GenericComponents\SetupConsoleMediator
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\GenericComponents\WellSketchControl
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\GenericComponents\WellSketchHelper
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Editors\WellboreEditor
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Editors\WellboreSketch
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Editors\AutoTest\WellboreEditorAutoTest
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Editors\AutoTest\WellSketchTabularEditor_AutoTest
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzAPI\Interface
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks\gTest\AcqTasks_GTest
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks\AutoTest\AcqTasks_AutoTest
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzProducts\Controls\WLDataLoadUIP
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzProducts\Editors\GraphicPassManager
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzProducts\Managers\PassManager\PassManagerUI
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzProducts\Managers\PassManager\PassManagerUI\PassManager_MsTest
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzProducts\UIServers
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzSysApps\Ensembles\WLSurface
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzSysApps\Ensembles\UIs\Wireline
WL Thrubit Support,,Workflow,,Chen Yinghua,,,,,,,,,HzSysApps\Ensembles\UIs\WirelineRM
Event Dispatcher,,T-Primer,,LI Ziming,true,,,,,,,
Event Dispatcher,,T-Primer,,LI Ziming,true,,,,,,,,HzAPI\Interface\Events
Event Dispatcher,,T-Primer,,LI Ziming,true,,,,,,,,HzFramework\Common\EventDispatcher
Event Dispatcher,,T-Primer,,LI Ziming,true,,,,,,,,HzFramework\Common\EventHostPublisher
Event Dispatcher,,T-Primer,,LI Ziming,true,,,,,,,,HzFramework\Common\EventHostSubscriber
RigTimeZone,,Workflow,,Li Rao,,,,,,,,
RigTimeZone,,Workflow,,Li Rao,,,,,,,,,HzAPI\RigTimeZoneUtility
RigTimeZone,,Workflow,,Li Rao,,,,,,,,,HzFramework\Common\RigTimeZone
System Monitor,,T-Primer,,ZHANG Peng,false,,,,,,,
System Monitor,,T-Primer,,ZHANG Peng,false,,,,,,,,HzAPI\SystemMonitorInterfaces
System Monitor,,T-Primer,,ZHANG Peng,false,,,,,,,,HzFramework\Utilities\RuntimeInformationCollect
System Monitor,,T-Primer,,ZHANG Peng,false,,,,,,,,HzFramework\Utilities\SystemMonitor
Test and scripting,,T-Primer,,KANG Lei,,,,,,,,
Test and scripting,MaxShell,T-Primer,,KANG Lei,false,,,,,,,
Test and scripting,HzAutoTestUtil,T-Primer,,ZHU Yu,,,,,,,,
Test and scripting,CFT,T-Primer,,LI Ziming,true,,,,,,,
Test and scripting,Core shield,T-Primer,,ZHANG Yanhua,false,,,,,,,
DTS,,SKK,ApplicationFamily,Naoki Watauchi,,,Sustaining,Wireline-ES,,,,
DTS,,SKK,ApplicationFamily,Naoki Watauchi,,,Sustaining,Wireline-ES,,,,,Maxwell\Application\SKK\DTC
DTS,,SKK,ApplicationFamily,Naoki Watauchi,,,Sustaining,Wireline-ES,,,,,,DTC-A,Commercial,TRUE,,Wireline-ES,Sustaining
