Project Name,Checkpoint Name,Created On,EncodedFileName,Lines,Statements,Percent Comment Lines,Percent Documentation Lines,"Classes, Interfaces, Structs",Methods per Class,Calls per Method,Statements per Method,Line Number of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
temp_horizon_csharp,source,20-Dec-16,7d652f775aba3268e6c0e4d47974fd494d5db27956e0ce341acdcb157a227127,15,14,0,0,1,3,0,0,8,1,8,2,1.14,1,4,4,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,56c14aa31d2bfa29db266a70d01c76156e5b473960ae648ae27385e6127e66df,20,37,0,0,1,11,0,0,8,1,8,2,1.49,1,4,11,22,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,12104afec8d450457d96b692d96d2b4f6097fdfb274a97f690215d26504eaa67,173,119,0.6,0,1,9,7.22,11,56,11,43,4,2.05,3.56,11,9,67,27,5,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,e920746f817c0bd34810c047f840e144b7b63c2a8ded3fa48bf7cd773d0a347c,17,28,0,0,1,8,0,0,8,1,8,2,1.43,1,4,8,16,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,2e3038df1b189b15362577c7925536b0791ba5f689e4897b90fb4839931d8c7c,59,48,0,0,1,2,14,20,9,11,23,4,2.27,9,5,2,20,17,4,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,52860b1e26f648ebfb5ffbff577a373a7a087725be03b9d6dbe3d7f72ac95a8f,15,24,0,0,1,7,0,0,7,1,7,2,1.46,1,3,7,14,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,1a0b3b3b23e710a5ea25d42be684576130ca69f38fa1cf85ce3c275a31423838,83,54,0,0,1,1,39,44,12,7,29,5,2.8,6,8,2,6,22,9,7,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,97163c058e72a7444dfc50453095e55eb7c5047585631115e7c2a327e9c7133a,20,37,0,0,1,11,0,0,8,1,8,2,1.49,1,4,11,22,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,067deaaac0c1dc07377fd32486afb595c73a89cc5497023cb185fe905a9c4439,236,175,0.4,0,3,4.33,7.38,11,90,16,55,5,2.37,4.19,10,9,77,65,13,1,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,1010321e4576dbb59ca9771a6a2dcf4d896fcb10938b9478b15fa2869c0f4f16,26,40,0,0,2,5.5,0,0,9,1,9,2,1.4,1,6,12,22,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,bb4f7aafd653837c9542b1a66f5ced3e8e525720d5212ed907faf7358133e498,115,82,0,0,1,3,19.67,24,11,13,29,5,2.74,10,7,3,17,35,17,3,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,92a9ac88e8e679babbd328fe36c29b35966f27626e3078c0de22e32172f44455,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
