File,CID,Severity,Checker,Status
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,13726,Unspecified,DEADCODE,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,13727,Unspecified,DEADCODE,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,13728,Unspecified,DEADCODE,Dismissed
/Maxwell/Main/HzApplications/SSLT/Computation/DeltaT/Core/SsltClusterCore.cpp,13761,Minor,DELETE_ARRAY,Dismissed
/Maxwell/Main/HzApplications/SSLT/Computation/DeltaT/Core/SsltClusterCore.cpp,13762,Minor,DELETE_ARRAY,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xlocnum,13783,Unspecified,DELETE_VOID,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xlocnum,13784,Unspecified,DELETE_VOID,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xlocnum,13785,Unspecified,DELETE_VOID,Dismissed
/Maxwell/Main/AppCore/Sonic/cs_sonic/hefmd_curvespikefilter.cpp,13828,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/AppCore/Sonic/cs_sonic/hefmd_curvespikefilter.cpp,13829,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzAPI/BaseImpl/AccumModuleImpl.cpp,13834,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzAPI/BaseImpl/CaliComputationModuleImpl.cpp,13836,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzAPI/BaseImpl/CaliComputationModuleImpl.cpp,13837,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzAPI/BaseImpl/CaliComputationModuleImpl.cpp,13838,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzAPI/BaseImpl/CaliComputationModuleImpl.cpp,13839,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzAPI/BaseImpl/MDSBMasterImpl.cpp,13841,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzAPI/BaseImpl/MDSBSlaveImpl.cpp,13842,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/AcqRecorder/WaveformCracker_UnitTest.cpp,14116,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/AcqRecorder/WaveformCracker_UnitTest.cpp,14117,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Acquisition/ScmtAcqManager_UnitTest.cpp,14118,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Acquisition/ScmtDownholeTool_UnitTest.cpp,14120,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Acquisition/ScmtDownholeTool_UnitTest.cpp,14121,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/IScmtCbl3PeakDetectionModuleImpl_UnitTest.cpp,14123,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/IScmtCbl3PeakDetectionModuleImpl_UnitTest.cpp,14124,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/IScmtCbl5PeakDetectionModuleImpl_UnitTest.cpp,14125,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/IScmtCbl5PeakDetectionModuleImpl_UnitTest.cpp,14126,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/IScmtTempPressCompensationModuleImpl_UnitTest.cpp,14127,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/IScmtTempPressCompensationModuleImpl_UnitTest.cpp,14128,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/IScmtTempPressCompensationModuleImpl_UnitTest.cpp,14129,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/IScmtTempPressCompensationModuleImpl_UnitTest.cpp,14130,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_AmpNorm_CBL_Monitoring_UnitTest.cpp,14131,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_AmpNorm_CBL_Monitoring_UnitTest.cpp,14132,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_AmpNorm_CBL_Monitoring_UnitTest.cpp,14133,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_AmpNorm_CBL_Monitoring_UnitTest.cpp,14134,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_AmpNorm_CBL_Monitoring_UnitTest.cpp,14135,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_AmpNorm_CBL_Monitoring_UnitTest.cpp,14136,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_PeakDetection_CBL3_Recorder_UnitTest.cpp,14137,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_PeakDetection_CBL3_Recorder_UnitTest.cpp,14138,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_PeakDetection_CBL3_UnitTest.cpp,14139,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_PeakDetection_CBL3_UnitTest.cpp,14140,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_PeakDetection_CBL5_Recorder_UnitTest.cpp,14141,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_PeakDetection_CBL5_Recorder_UnitTest.cpp,14142,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_PeakDetection_CBL5_UnitTest.cpp,14143,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_PeakDetection_CBL5_UnitTest.cpp,14144,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_TempPress_CBL_Monitoring_UnitTest.cpp,14145,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_TempPress_CBL_UnitTest.cpp,14146,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_TempPress_CBL_UnitTest.cpp,14147,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_TempPress_MAP_Monitoring_UnitTest.cpp,14148,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_TempPress_MAP_UnitTest.cpp,14149,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/SCMT_DFM_TempPress_MAP_UnitTest.cpp,14150,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtPeakDetectionComputation_UnitTest.cpp,14151,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtPeakDetectionComputation_UnitTest.cpp,14152,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtPeakDetectionComputation_UnitTest.cpp,14153,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtRawAmplitude_UnitTest.cpp,14154,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtRawAmplitude_UnitTest.cpp,14156,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtRawAmplitude_UnitTest.cpp,14157,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtTestAmplitude_UnitTest.cpp,14158,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtTestAmplitude_UnitTest.cpp,14159,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtTestAmplitude_UnitTest.cpp,14160,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/Computation/ScmtTestAmplitude_UnitTest.cpp,14161,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/ScmtUnitTestFixture.h,14163,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/ScmtUnitTestFixture.h,14164,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/ScmtUnitTestFixture.h,14165,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/ScmtUnitTestFixture.h,14166,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/ScmtUnitTestFixture.h,14167,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/ScmtUnitTestFixture.h,14168,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/SCMT/UnitTest/gTest/ScmtUnitTestFixture.h,14169,Unspecified,FORWARD_NULL,Dismissed
/Maxwell/Main/HzApplications/Sonic/CementEvaluation/CEVAL_Calibration/CEVAL_CaliCompModuleCommon.h,14176,Unspecified,FORWARD_NULL,Dismissed
