File,LOC,Coverage
hzframework\dex\common\dotnet\tooltypehelper.cs,43,0
hzframework\dex\common\dotnet\dexunithelper.cs,190,0
hzframework\dex\common\dotnet\geomagmodel.cs,6,0
hzframework\dex\common\dotnet\gatingchannel.cs,31,0
hzframework\dex\common\dotnet\interpolationvalue.cs,32,0
hzframework\dex\common\dotnet\dlishz440pvtobject.cs,17,0
hzframework\dex\common\dotnet\parameterreader.cs,22,0
hzframework\dex\common\dotnet\slbabstractdatawriter.cs,37,37.83784
hzframework\dex\common\dotnet\dexspecbase.cs,20,75
hzframework\dex\common\dotnet\dlisjob.cs,2,0
hzframework\dex\common\dotnet\dexcommonutilities.cs,37,0
hzframework\dex\common\dotnet\elevationparameters.cs,3,100
hzframework\dex\common\dotnet\interpolationalgorithm.cs,8,0
hzframework\dex\common\dotnet\interpolationcalculator.cs,8,0
hzproductsapi\productsutils\layoutparameterparserproxy.cpp,53,37.73585
hzproductsapi\uidatadefinitions\uidatadefs.cs,185,0
hzproductsapi\uidatadefinitions\uivalueobjectbase.cs,37,29.72973
hzproducts\genericcomponents\toolselection\toolinstanceselector.cs,17,0
hzproducts\genericcomponents\toolselection\toolinstanceselectorform.cs,175,0
hzproducts\genericcomponents\toolselection\toolselection.cs,9,0
hzproducts\genericcomponents\toolselection\toolselectioncustomized.cs,11,36.36364
hzproducts\viewers\deliverables\xyzviewer\multiinstance\dcxyzmultiinstanceinfo.cs,95,0
hzproducts\viewers\deliverables\xyzviewer\dcxyzcomponenteditorui.cs,100,0
hzproducts\viewers\deliverables\xyzviewer\dcxyzcomponentproperty.cs,363,4.132231
hzproducts\viewers\deliverables\xyzviewer\dcxyzcomponentviewerui.cs,900,0
hzproducts\viewers\deliverables\xyzviewer\dataassignment\dcxyzdataassignmenteditor.cs,21,0
hzproducts\viewers\deliverables\xyzviewer\gcxyzlabel.cs,11,0
hzproducts\viewers\deliverables\xyzviewer\dataassignment\dcxyzdataassignmenteditorform.cs,69,0
hzproducts\viewers\deliverables\xyzviewer\dataassignment\dcxyzdataassignment.cs,41,24.39024
hzproducts\viewers\deliverables\xyzviewer\baseclasses\dcxyzpropertydescriptor.cs,14,0
hzproducts\viewers\deliverables\xyzviewer\dcxyzplothelper.cs,82,31.70732
hzproducts\genericcomponents\xyzcomponents\xyzviewserver\viewserver.cs,104,23.07692
hzgraphics\xyzplot\rendering\rendering.cs,1218,0
hzgraphics\xyzplot\rendering\xyplotrendering.cs,5079,0
hzgraphics\xyzplot\plugin\xyzpluginlist.cs,50,8
hzgraphics\xyzplot\plotmodel\xyzfilterlist.cs,132,20.45455
hzgraphics\xyzplot\dataaccess\xyzparameterserver.cs,106,0
hzgraphics\xyzplot\plugin\xyzpluginmanager.cs,233,1.287554
hzgraphics\xyzplot\plugin\xyzpluginclass.cs,79,0
hzgraphics\xyzplot\plugin\xyzplugin.cs,152,0
hzgraphics\xyzplot\plotmodel\xyzstation.cs,811,0
hzgraphics\xyzplot\plotmodel\xyzlegend.cs,120,22.5
hzgraphics\xyzplot\plotmodel\xyzambiguousobject.cs,16,0
hzgraphics\xyzplot\plotmodel\xyzstationline.cs,72,0
hzgraphics\xyzplot\plotmodel\xyzsummaryrecordpoint.cs,30,0
hzgraphics\xyzplot\plotmodel\xyzgraph.cs,1534,7.56193
hzgraphics\xyzplot\rendering\xybubbleplotrendering.cs,373,0
hzgraphics\xyzplot\plotmodel\xyzcomponent.cs,261,21.45594
hzgraphics\xyzplot\plotmodel\xyzexception.cs,31,0
hzgraphics\xyzplot\plotmodel\xyzaxis.cs,687,12.22707
hzgraphics\xyzplot\plotmodel\xyzlayeredobject.cs,94,23.40425
hzgraphics\xyzplot\plotmodel\tmhelper.cs,13,0
hzgraphics\xyzplot\plotmodel\xyzcutoffmanager.cs,129,5.426357
hzgraphics\xyzplot\plotmodel\xyzplot.cs,1298,20.41603
hzgraphics\xyzplot\dataaccess\xyzparameterdataobject.cs,241,0
hzgraphics\xyzplot\plotmodel\xyzcustompropertylist.cs,109,6.422019
hzgraphics\xyzplot\rendering\xyradialplotrendering.cs,650,0
hzgraphics\xyzplot\dataaccess\xyzlogdataobject.cs,323,0
hzgraphics\xyzplot\rendering\peapic.cs,129,0
hzgraphics\xyzplot\plotmodel\xyzbasecurve.cs,401,5.236908
hzgraphics\xyzplot\plotmodel\xyzdrawableobject.cs,118,47.45763
hzgraphics\xyzplot\plotmodel\xyzradialcurve.cs,662,0
hzgraphics\xyzplot\rendering\xyzlegendrendering.cs,271,0
hzgraphics\xyzplot\plotmodel\xyzstackedhistogramcurve.cs,317,0
hzgraphics\xyzplot\plotmodel\xyzpoint.cs,209,0
hzgraphics\xyzplot\plotmodel\xyzcurve.cs,2034,0
hzgraphics\xyzplot\plotmodel\xyzcontourcurve.cs,403,11.66253
hzgraphics\xyzplot\plotmodel\xyzdrawingprimitive.cs,321,0
hzgraphics\xyzplot\plotmodel\xyzlines.cs,534,0
hzgraphics\xyzplot\plotmodel\xyzpointannotation.cs,100,0
hzgraphics\xyzplot\plotmodel\xyzvectorcurve.cs,503,0
hzgraphics\xyzplot\plotmodel\xyzbubblecurve.cs,260,0
hzgraphics\xyzplot\plotmodel\xyzlwcurve.cs,420,0
hzgraphics\xyzplot\plotmodel\xyzannotation.cs,59,0
hzgraphics\xyzplot\plotmodel\xyzdrawableserver.cs,90,17.77778
hzgraphics\xyzplot\plotmodel\xyzutility.cs,330,4.242424
hzgraphics\xyzplot\rendering\colorbar.cs,591,0
hzgraphics\xyzplot\plotmodel\xyzlwtannotation.cs,82,0
hzgraphics\xyzplot\plotmodel\xyzpointannotations.cs,140,0
hzgraphics\xyzplot\dataaccess\xyzdatamanager.cs,617,3.727715
hzgraphics\xyzplot\dataaccess\xyzrepresentationserver.cs,409,0
hzgraphics\xyzplot\plotmodel\xyzcompositionobject.cs,249,0
hzgraphics\xyzplot\plotmodel\xyzlayerserver.cs,154,21.42857
hzgraphics\xyzplot\dataaccess\xyzdatahelper.cs,67,0
hzgraphics\xyzplot\plotmodel\xyzcolorgradient.cs,635,8.503937
hzgraphics\xyzplot\plotmodel\xyzparameter.cs,340,0
hzgraphics\xyzplot\plotmodel\xyzgradient.cs,52,25
hzgraphics\xyzplot\plotmodel\xyzgridline.cs,91,40.65934
hzgraphics\xyzplot\rendering\peapihelper.cs,85,0
hzgraphics\xyzplot\rendering\xystackedhistogramrendering.cs,342,0
hzgraphics\xyzplot\plotmodel\xyzhistogramcurve.cs,271,0
hzgraphics\xyzplot\plotmodel\xyzannotationgroup.cs,41,0
hzgraphics\xyzplot\dataaccess\xyzlwdataobject.cs,79,0
hzgraphics\xyzplot\plotmodel\xyzchannelbinding.cs,165,0
hzgraphics\xyzplot\plotmodel\xyzunitmanager.cs,165,7.878788
hzgraphics\xyzplot\decimation\xyzincreamentaldecimation.cs,27,0
hzgraphics\xyzplot\decimation\xyzdecimation.cs,34,0
hzgraphics\xyzplot\plotmodel\xyzindexcutoffmanager.cs,97,5.154639
hzgraphics\xyzplot\plotmodel\xyzrtmwrapper.cs,17,0
hzgraphics\xyzplot\plotmodel\xyztmwrapper.cs,17,76.47059
hzgraphics\xyzplot\dataaccess\xyzequippropertywrapper.cs,58,0
hzgraphics\xyzplot\plotmodel\xyzlimit.cs,227,22.02643
hzgraphics\xyzplot\plotmodel\xyzbackground.cs,67,31.34328
hzgraphics\xyzplot\plotmodel\xyzareacurve.cs,116,0
hzgraphics\xyzplot\plotmodel\xyzcurvemap.cs,115,41.73913
hzgraphics\xyzplot\plotmodel\xyztableannotation.cs,110,0
hzgraphics\xyzplot\plotmodel\xyztickunit.cs,290,28.62069
hzgraphics\xyzplot\dataaccess\xyzrepresentationwrapper.cs,401,0
hzgraphics\xyzplot\plotmodel\xmlvalidateutil.cs,159,31.44654
hzgraphics\xyzplot\plotmodel\xyztableannotationlabel.cs,233,0
hzgraphics\xyzplot\plotmodel\xyzhistogrambinding.cs,96,0
hzgraphics\xyzplot\plotmodel\xyzcopypastemanager.cs,420,0.7142857
hzgraphics\xyzplot\plotmodel\xyzbinditem.cs,197,0
hzgraphics\xyzplot\plotmodel\xyzcolormapbinding.cs,132,23.48485
hzgraphics\xyzplot\dataaccess\xyzequippropertyobject.cs,27,0
hzgraphics\xyzplot\plotmodel\xyzsymbolpoint.cs,48,0
hzgraphics\xyzplot\plotmodel\xyztitle.cs,88,32.95454
hzgraphics\xyzplot\dataaccess\xyz2dlogdataobject.cs,142,0
hzgraphics\xyzplot\plotmodel\xyzpointposition.cs,79,0
hzgraphics\xyzplot\plotmodel\plotfreeformimage.cs,52,0
hzgraphics\xyzplot\plotmodel\xyzparameterline.cs,16,0
hzgraphics\xyzplot\dataaccess\xyzndlogdataobject.cs,131,0
hzgraphics\xyzplot\plotmodel\xyzfilter.cs,54,53.7037
hzgraphics\xyzplot\plotmodel\xyzspacing.cs,30,43.33333
hzgraphics\xyzplot\dataaccess\xyzstationserver.cs,125,0
hzgraphics\xyzplot\plotmodel\xyzfinger.cs,39,0
hzgraphics\xyzplot\plotmodel\xyzvaluerange.cs,49,16.32653
hzgraphics\xyzplot\plotmodel\xyzshadedrange.cs,201,0
hzgraphics\xyzplot\plotmodel\xyzfont.cs,103,42.71844
hzgraphics\xyzplot\plotmodel\xyzcolormap.cs,139,23.74101
hzgraphics\xyzplot\plotmodel\xyzcopypastexmlparser.cs,888,0
hzgraphics\xyzplot\decimation\xyz2axesincreamentaldecimation.cs,74,0
hzgraphics\xyzplot\plotmodel\xyzindexnumber.cs,107,21.49533
hzgraphics\xyzplot\plotmodel\xyzstackedhistogramchannelbinding.cs,39,0
hzgraphics\xyzplot\plotmodel\xyzcutoff.cs,314,0
hzgraphics\xyzplot\dataaccess\xyzparameterwrapper.cs,73,0
hzgraphics\xyzplot\dataaccess\xyzstationdataobject.cs,129,0
hzgraphics\xyzplot\plotmodel\xyzbubblepoint.cs,42,0
hzgraphics\xyzplot\plotmodel\xyzborder.cs,77,29.87013
hzgraphics\xyzplot\decimation\xyz1axisplaindecimation.cs,135,0
hzgraphics\xyzplot\decimation\xyz2axesplaindecimation.cs,38,0
hzgraphics\xyzplot\decimation\xyz1axisincreamentaldecimation.cs,45,0
hzgraphics\xyzplot\plotmodel\xyzshading.cs,70,0
